LL_CH_1s1s,LL_CH_2s1s,LL_CH_2px1s,LL_CH_2py1s,LL_CH_2pz1s,LL_C_1s1s,LL_C1_1s1s,LL_C1_1s2s,LL_C1_1s2px,LL_C1_1s2py,LL_C1_1s2pz,LL_C1_2s1s,LL_C1_2s2s,LL_C1_2s2px,LL_C1_2s2py,LL_C1_2s2pz,LL_C1_2px1s,LL_C1_2px2s,LL_C1_2px2px,LL_C1_2px2py,LL_C1_2px2pz,LL_C1_2py1s,LL_C1_2py2s,LL_C1_2py2px,LL_C1_2py2py,LL_C1_2py2pz,LL_C1_2pz1s,LL_C1_2pz2s,LL_C1_2pz2px,LL_C1_2pz2py,LL_C1_2pz2pz,J_LL_CH_1s1s,J_LL_CH_2s1s,J_LL_CH_2px1s,J_LL_CH_2py1s,J_LL_CH_2pz1s,J_LL_C_1s1s,J_LL_C1_1s1s,J_LL_C1_1s2s,J_LL_C1_1s2px,J_LL_C1_1s2py,J_LL_C1_1s2pz,J_LL_C1_2s1s,J_LL_C1_2s2s,J_LL_C1_2s2px,J_LL_C1_2s2py,J_LL_C1_2s2pz,J_LL_C1_2px1s,J_LL_C1_2px2s,J_LL_C1_2px2px,J_LL_C1_2px2py,J_LL_C1_2px2pz,J_LL_C1_2py1s,J_LL_C1_2py2s,J_LL_C1_2py2px,J_LL_C1_2py2py,J_LL_C1_2py2pz,J_LL_C1_2pz1s,J_LL_C1_2pz2s,J_LL_C1_2pz2px,J_LL_C1_2pz2py,J_LL_C1_2pz2pz,J_CH_1s1s,J_QU_CH_2s1s,J_QU_CH_2px1s,J_QU_CH_2py1s,J_QU_CH_2pz1s
-0.089484679225087571,0.24636872313479286,0.022550009681173377,-0.044300793075986611,0.61653787597048082,0.66706398247989318,2.0666763152109029,-0.22447793606189109,-0.001860753261480259,0.002725060976692003,0.0012593851261518351,-0.22447793606189109,0.88776059646327699,-0.025630992230691214,0.0051204348634296751,0.0044228301499401983,-0.001860753261480259,-0.025630992230691214,0.63432940088001244,-0.010500397592180202,0.0077042398322137579,0.002725060976692003,0.0051204348634296751,-0.010500397592180202,0.63109578961408175,-0.009738379288211918,0.0012593851261518351,0.0044228301499401983,0.0077042398322137579,-0.009738379288211918,0.63787416295275023,0.26314173985073191,1.442425889641116,-0.026825543979062675,0.064883283165887429,1.363369693773856,2.8924824985118365,7.1326874040860533,1.4563441207883152,-0.0068784281208869461,0.019422778671599132,-0.0037608243519523608,1.4563441207883152,4.0034205586706424,-0.08833064561998169,0.22291309866340295,-0.039678553592488931,-0.0068784281208869461,-0.08833064561998169,3.9836083454778555,-0.034540903778453882,0.0032710327875695557,0.019422778671599132,0.22291309866340295,-0.034540903778453882,4.0493340998665595,-0.013631731681256538,-0.0037608243519523608,-0.039678553592488931,0.0032710327875695557,-0.013631731681256538,3.9674675043171157,0.26469051615377975,1.4406113403437539,-0.033939516910207662,0.073749093588391296,1.3117768302050243
-0.086056318784543673,0.22589838373422866,-0.016109895492904286,0.00089596843744933763,0.61691261685353072,0.64279181531822349,2.0672730744989027,-0.19912410850459836,0.002326350499406743,0.003464851736777567,0.0034772852595566883,-0.19912410850459836,0.78383575979524378,0.018579670928920673,0.0020588307076085588,0.0076049119729455659,0.002326350499406743,0.018579670928920673,0.65223832499683132,0.003676381390291493,-0.012807673878539261,0.003464851736777567,0.0020588307076085588,0.003676381390291493,0.66510987651157327,0.0080834352243383187,0.0034772852595566883,0.0076049119729455659,-0.012807673878539261,0.0080834352243383187,0.66575538916943822,0.3337663028348295,1.6880090960940421,-0.035913426634241442,0.076128161651658366,1.5295527947813523,3.0564283882399184,7.4170372792233072,1.526322766727912,-0.012553292602018649,0.023672328559702454,-0.010030114137398443,1.526322766727912,4.2432562876677844,-0.12823064324143343,0.264266099232286,-0.10348400990438182,-0.012553292602018649,-0.12823064324143343,4.2159724964583649,-0.048702306939843946,0.023766746219115169,0.023672328559702454,0.264266099232286,-0.048702306939843946,4.2991021515687073,-0.042962508513048225,-0.010030114137398443,-0.10348400990438182,0.023766746219115169,-0.042962508513048225,4.2041320599172574,0.33647119944300763,1.692423264765482,-0.031457843843105307,0.074204699692285089,1.4898161288770284
-0.096222771939570129,0.24667946700109578,-0.045424621969309319,-0.0008593552000839208,0.59156807684510571,0.63498358798100429,2.066369739744347,-0.21946648209425207,0.0039997850943527362,-0.0012781759910761308,-0.00087842598280911052,-0.21946648209425207,0.86848238743098904,-0.0070816362798900023,0.038856297690637198,-0.0021339437226906453,0.0039997850943527362,-0.0070816362798900023,0.6396958446257166,0.010655817393329964,-0.014790931796338204,-0.0012781759910761308,0.038856297690637198,0.010655817393329964,0.64805232856500983,-0.003709829240548114,-0.00087842598280911052,-0.0021339437226906453,-0.014790931796338204,-0.003709829240548114,0.62711499929733427,0.31950460380014029,1.6057531078211498,-0.03005568665039908,0.05350311033153108,1.4587922045952588,2.9261365899566871,7.1825696816163562,1.4686565864175556,-0.0097852984680635684,0.015386724708143519,-0.009413766059866182,1.4686565864175556,4.0461505078993785,-0.10883701766911093,0.18467817326229458,-0.10657747099005641,-0.0097852984680635684,-0.10883701766911093,4.0276450363659375,-0.041040509556223383,0.024841373985377474,0.015386724708143519,0.18467817326229458,-0.041040509556223383,4.0736091106380092,-0.033362505026913326,-0.009413766059866182,-0.10657747099005641,0.024841373985377474,-0.033362505026913326,4.0272274808721242,0.32016680985678758,1.6099070704059899,-0.023097777055933723,0.055668226034503221,1.4233448514435687
-0.09481443908975018,0.22776369616097383,0.057166733926468448,-0.0011437844974244854,0.5970934020361347,0.62631396404402517,2.0662035425207357,-0.2135406189763249,-0.0012501725654614575,0.004229850041674618,0.00015936538072792693,-0.2135406189763249,0.84342288130463694,0.025001297097673306,0.0143025616864044,-0.012047216551198595,-0.0012501725654614575,0.025001297097673306,0.64322366479737514,0.0042239424220532062,0.010110293409152336,0.004229850041674618,0.0143025616864044,0.0042239424220532062,0.63103434071027986,0.00030820037479914464,0.00015936538072792693,-0.012047216551198595,0.010110293409152336,0.00030820037479914464,0.64519272551217011,0.3606632176450752,1.7480551572931593,-0.042563709006283652,0.071552320578927492,1.5664234229956222,3.051484511026251,7.2310224047416005,1.4806307176353639,-0.012313101713216392,0.01836978591151622,-0.00578488678421781,1.4806307176353639,4.0885931286561847,-0.13026962857251131,0.21820192732311958,-0.069908425915279432,-0.012313101713216392,-0.13026962857251131,4.0672251836380511,-0.043834283913089758,0.013544840602441219,0.01836978591151622,0.21820192732311958,-0.043834283913089758,4.132469974473822,-0.027480213359827737,-0.00578488678421781,-0.069908425915279432,0.013544840602441219,-0.027480213359827737,4.055973947238769,0.36093090617965973,1.7586111673818823,-0.047769098905432149,0.072962185604034654,1.5380235105498143
-0.098232588075454833,0.22828881274701801,-0.054654702823823162,0.015302708170969404,0.5915923373164913,0.61507598747589021,2.0660196492367895,-0.20317696011351044,-0.0017761481031050149,-0.0016731394489283365,-0.0025145851046675257,-0.20317696011351044,0.7997768150636716,-0.0073571269112685748,-0.0036678552148138093,-0.0025247135395174169,-0.0017761481031050149,-0.0073571269112685748,0.64376154139778374,0.012834771404927215,-0.020916728155976411,-0.0016731394489283365,-0.0036678552148138093,0.012834771404927215,0.6574399447669188,0.0093950108729516368,-0.0025145851046675257,-0.0025247135395174169,-0.020916728155976411,0.0093950108729516368,0.64905494083645743,0.4121052747428402,1.893558477640833,-0.045946115612048054,0.07092350813258079,1.6494021699710961,3.1342912967208254,7.3444434639824419,1.5085884890266203,-0.012243735824695188,0.019792598284477055,-0.0094050481835289221,1.5085884890266203,4.185165632272061,-0.14318041839330084,0.21883634169481581,-0.11034363992094433,-0.012243735824695188,-0.14318041839330084,4.1742656978590595,-0.055937888945721652,0.031470404955072293,0.019792598284477055,0.21883634169481581,-0.055937888945721652,4.2124977134481281,-0.043016972588868725,-0.0094050481835289221,-0.11034363992094433,0.031470404955072293,-0.043016972588868725,4.1583180863662053,0.41287499649837472,1.9088192550482737,-0.038868242279714103,0.067178284593973139,1.6311645523281357
-0.096144728113784536,0.23862270822096096,0.012173234510675757,0.030148596175030559,0.59143171668332206,0.62326465661676045,2.0663048508119783,-0.20981650334221774,-0.0013607590040467675,-0.004544092994513001,-0.00076130140128441827,-0.20981650334221774,0.8280194876746001,-0.023483497486336841,0.017085650410652572,-0.00088076920772453267,-0.0013607590040467675,-0.023483497486336841,0.65914477916106595,0.014661089265082777,0.0059408324932850448,-0.004544092994513001,0.017085650410652572,0.014661089265082777,0.63983350421035445,0.0066123693661107458,-0.00076130140128441827,-0.00088076920772453267,0.0059408324932850448,0.0066123693661107458,0.6403488986524507,0.35806702574624644,1.7336007122303552,-0.040636853036540112,0.058586466263385741,1.5478887821296465,3.0256717510740581,7.2724930681174946,1.4907931626375031,-0.010723279958983589,0.017191770427790826,-0.0093927210832518392,1.4907931626375031,4.1210700187921461,-0.13043088272113895,0.19421796258880625,-0.10545004450178119,-0.010723279958983589,-0.13043088272113895,4.1087091651515051,-0.052123909777701864,0.021866129318283339,0.017191770427790826,0.19421796258880625,-0.052123909777701864,4.1479407388812888,-0.037774894648023132,-0.0093927210832518392,-0.10545004450178119,0.021866129318283339,-0.037774894648023132,4.0963585839080272,0.35913576345377107,1.7417593122157273,-0.043933949562285676,0.054208661551436603,1.5190974724294217
-0.10037175512789424,0.21194193668175659,0.0366906610209842,0.048500449747074181,0.58709036751100063,0.61081763421627921,2.0671369813437184,-0.2134434899131771,0.00017966384218386241,-0.0023723711860422804,-0.0011077340746726509,-0.2134434899131771,0.84714785174009588,0.01647174967578998,0.041078130566780141,-0.030507374015331691,0.00017966384218386241,0.01647174967578998,0.64293946684047809,-0.0022192168127541084,0.0039712876540860774,-0.0023723711860422804,0.041078130566780141,-0.0022192168127541084,0.66057954325041812,0.0095684044589331441,-0.0011077340746726509,-0.030507374015331691,0.0039712876540860774,0.0095684044589331441,0.64528409546009158,0.44196387211570165,1.9561364203879044,-0.056185077567814205,0.064357135237648369,1.6843700023035293,3.1480983945990753,7.2461082129463543,1.4841579225735584,-0.015012682999315017,0.015056888840597128,-0.0060475063112895274,1.4841579225735584,4.0953110699573614,-0.15874001463020804,0.18065036240963661,-0.08123821131660415,-0.015012682999315017,-0.15874001463020804,4.0890890139464462,-0.047526832212098927,0.023693666485604156,0.015056888840597128,0.18065036240963661,-0.047526832212098927,4.1171657749723822,-0.031707443131188395,-0.0060475063112895274,-0.08123821131660415,0.023693666485604156,-0.031707443131188395,4.0695898486762534,0.44078274700039954,1.9759400239748355,-0.056820307128222974,0.059043975793172158,1.6739037009878432
-0.095021952218358283,0.20632402504508099,-0.061177478776349568,0.051229823684365211,0.59800808260787286,0.6180033924492514,2.0662666449547702,-0.20469409020817739,0.0014824405055680146,-0.0013154996057660687,0.00039373362676004052,-0.20469409020817739,0.80776416877496326,-0.011977395630963393,0.0068429871524195449,-0.020139752457002703,0.0014824405055680146,-0.011977395630963393,0.64573870507499009,-0.010909300307621793,-0.021795627099485897,-0.0013154996057660687,0.0068429871524195449,-0.010909300307621793,0.65627218445377788,0.018986171467097773,0.00039373362676004052,-0.020139752457002703,-0.021795627099485897,0.018986171467097773,0.65827664641494221,0.42735309555957229,1.9265204205405777,-0.03803729553063593,0.070103250871661721,1.6647369373737564,3.1398650137965305,7.3312514580863244,1.5052534430007214,-0.010537034565154202,0.019401969735278201,-0.0095564643795680113,1.5052534430007214,4.1706316171636333,-0.12002785433795238,0.21736236378163543,-0.11475835045624266,-0.010537034565154202,-0.12002785433795238,4.1517037149689155,-0.043088811988918056,0.030362485034594298,0.019401969735278201,0.21736236378163543,-0.043088811988918056,4.200432757869951,-0.050228751077928527,-0.0095564643795680113,-0.11475835045624266,0.030362485034594298,-0.050228751077928527,4.1494198859423861,0.42759486665467011,1.944360366382996,-0.028943042665033315,0.061302200217041303,1.6468990086755719
-0.094631460626560068,0.18535375751774205,0.066363781294289048,0.017583452759645946,0.60834639323921336,0.61102808254833307,2.0670208690753813,-0.20128027320963271,-0.0012741934876933617,-0.00059283833984131301,0.00092895340146074523,-0.20128027320963271,0.79747395474723026,0.027146173258352339,-0.0026687735999228351,-0.033423136387310239,-0.0012741934876933617,0.027146173258352339,0.65119130067654007,0.0086545561646887183,0.015555706270533223,-0.00059283833984131301,-0.0026687735999228351,0.0086545561646887183,0.64526433564274743,0.012650158583058712,0.00092895340146074523,-0.033423136387310239,0.015555706270533223,0.012650158583058712,0.68321992596225256,0.48422657813600423,2.0976557155749451,-0.060794234591121522,0.092402308598595259,1.7839770818208811,3.2922712960763048,7.3900150583760098,1.5196587004716049,-0.015569065243089836,0.022437735251320513,-0.004355493849124481,1.5196587004716049,4.2190178250733759,-0.16069854079237747,0.2466954359551416,-0.061807022331613025,-0.015569065243089836,-0.16069854079237747,4.2013271235406515,-0.058977885547382293,0.016865748700409949,0.022437735251320513,0.2466954359551416,-0.058977885547382293,4.2689350842223011,-0.034463203005146804,-0.004355493849124481,-0.061807022331613025,0.016865748700409949,-0.034463203005146804,4.1762976827557834,0.48458376787365609,2.1216115111100127,-0.064281281714674843,0.087307057770530286,1.7771569522017199
-0.085721243194774407,0.20869777225992314,-0.024149249422923902,-0.017255611782641261,0.62216348918613917,0.65726606419355793,2.0661431304774371,-0.21485899165068509,0.0010202448421458505,-0.0018695947472667227,0.0045465543008106337,-0.21485899165068509,0.8495937483053384,-0.019458596215133326,0.015178676098437007,-0.018612709806832509,0.0010202448421458505,-0.019458596215133326,0.63422609597376578,0.0031033554805046104,-0.0052962741537807001,-0.0018695947472667227,0.015178676098437007,0.0031033554805046104,0.63389903690571714,-0.0065853673430754101,0.0045465543008106337,-0.018612709806832509,-0.0052962741537807001,-0.0065853673430754101,0.65485458543465436,0.32470992285258871,1.6493491950651209,-0.03958090445289137,0.065066775867426721,1.5063899167141221,3.0151081804263367,7.2488266906225371,1.4850420099523767,-0.011233297878719038,0.018782148785953391,-0.005506944017070926,1.4850420099523767,4.1047613966869179,-0.13107085161699475,0.2128265732573219,-0.06333105102174999,-0.011233297878719038,-0.13107085161699475,4.0952554389584375,-0.051826668146346754,0.01834490922225834,0.018782148785953391,0.2128265732573219,-0.051826668146346754,4.1417729802706438,-0.025966809213158408,-0.005506944017070926,-0.06333105102174999,0.01834490922225834,-0.025966809213158408,4.0670728693995812,0.32534647834155689,1.655461608436275,-0.036720313338910113,0.068284117061534338,1.4642463336510465
