H1nuc_LL_CH_1s1s,H1nuc_LL_CH_2s1s,H1nuc_LL_CH_2px1s,H1nuc_LL_CH_2py1s,H1nuc_LL_CH_2pz1s,H1nuc_LL_C_1s1s,H1nuc_LL_C1_1s1s,H1nuc_LL_C1_1s2s,H1nuc_LL_C1_1s2px,H1nuc_LL_C1_1s2py,H1nuc_LL_C1_1s2pz,H1nuc_LL_C1_2s1s,H1nuc_LL_C1_2s2s,H1nuc_LL_C1_2s2px,H1nuc_LL_C1_2s2py,H1nuc_LL_C1_2s2pz,H1nuc_LL_C1_2px1s,H1nuc_LL_C1_2px2s,H1nuc_LL_C1_2px2px,H1nuc_LL_C1_2px2py,H1nuc_LL_C1_2px2pz,H1nuc_LL_C1_2py1s,H1nuc_LL_C1_2py2s,H1nuc_LL_C1_2py2px,H1nuc_LL_C1_2py2py,H1nuc_LL_C1_2py2pz,H1nuc_LL_C1_2pz1s,H1nuc_LL_C1_2pz2s,H1nuc_LL_C1_2pz2px,H1nuc_LL_C1_2pz2py,H1nuc_LL_C1_2pz2pz,H1nuc_CH_1s1s,H1nuc_QU_CH_2s1s,H1nuc_QU_CH_2px1s,H1nuc_QU_CH_2py1s,H1nuc_QU_CH_2pz1s
-0.94541158701171457,-3.1635282230182962,0.053094086413116089,-0.13406431751076442,-2.9376705291015024,-6.317270743832573,-37.609887062981691,-5.1750349523437258,0.012671134584165369,-0.03888982306822273,0.0080805504726154213,-5.1750349523437258,-9.1153659675176737,0.16384730425097588,-0.45739791208858072,0.089146746738846622,0.012671134584165369,0.16384730425097588,-9.0498979833119328,0.069875578449051068,0.0037908182480492726,-0.03888982306822273,-0.45739791208858072,0.069875578449051068,-9.1689918708513272,0.024888606469975452,0.0080805504726154213,0.089146746738846622,0.0037908182480492726,0.024888606469975452,-8.9977407693886331,-0.96909568070186902,-3.1824615326532322,0.075922404281220268,-0.16129128965031958,-2.8064001520706556
-1.1767314815806369,-3.7158508955297078,0.078657896319934417,-0.16046049613086188,-3.308222812357783,-6.6748598414118501,-38.168554641452296,-5.3137869337399488,0.027007919873258825,-0.047226052883392398,0.021395007742990496,-5.3137869337399488,-9.6443481640134117,0.29559305280253317,-0.56325883393169507,0.23647834861899814,0.027007919873258825,0.29559305280253317,-9.5452187197650158,0.10463456647074798,-0.067819952415689444,-0.047226052883392398,-0.56325883393169507,0.10463456647074798,-9.7513938709659946,0.098596274874886938,0.021395007742990496,0.23647834861899814,-0.067819952415689444,0.098596274874886938,-9.5052491266332471,-1.2082608072495613,-3.7501016412594592,0.064974284412661079,-0.15657373849199718,-3.212021831306294
-1.1455064726598307,-3.5428205995207138,0.061298606541234861,-0.10694642202341956,-3.1693865023887873,-6.4155121348528361,-37.703805849418607,-5.1983608464662536,0.01988241750354685,-0.029737421239839211,0.018936453518990322,-5.1983608464662536,-9.2050422723540226,0.22953580209450675,-0.36413118580671788,0.22066397935967771,0.01988241750354685,0.22953580209450675,-9.1201860244948225,0.08457475086803834,-0.061239523529274101,-0.029737421239839211,-0.36413118580671788,0.08457475086803834,-9.2315783844566184,0.062963544703851113,0.018936453518990322,0.22066397935967771,-0.061239523529274101,0.062963544703851113,-9.1337274665302264,-1.1622348831949045,-3.5784033436600349,0.040290555977065934,-0.11528160619663896,-3.0867882533623821
-1.2893497784169932,-3.8655928406007822,0.09285307873377073,-0.1442716144801712,-3.412083660939166,-6.687151221522166,-37.804215605404252,-5.2232988499275699,0.025881062712649259,-0.035845798059506565,0.011286239300566719,-5.2232988499275699,-9.2997164456413817,0.28887626721424359,-0.43621938930778198,0.13786655729227304,0.025881062712649259,0.28887626721424359,-9.2079552336197743,0.0841319044161042,-0.031754608939724864,-0.035845798059506565,-0.43621938930778198,0.0841319044161042,-9.3646884352813675,0.054555289933411424,0.011286239300566719,0.13786655729227304,-0.031754608939724864,0.054555289933411424,-9.1967036961384832,-1.299473656702296,-3.9170963101057512,0.10788425950353007,-0.15127101167718129,-3.3471990410306769
-1.4633470887781557,-4.1989305814592717,0.09139625568112697,-0.14920299452350555,-3.6054147256805553,-6.8778235865732995,-38.024547856994467,-5.2780210948770812,0.023943676647939276,-0.040359984978476246,0.018345326092305027,-5.2780210948770812,-9.510781606083393,0.29142146727381335,-0.46942921999116233,0.2241438837458074,0.023943676647939276,0.29142146727381335,-9.4566376621078927,0.13281546596085997,-0.075486460546787079,-0.040359984978476246,-0.46942921999116233,0.13281546596085997,-9.5246332430258995,0.10216032349008355,0.018345326092305027,0.2241438837458074,-0.075486460546787079,0.10216032349008355,-9.4203425484041095,-1.4778704486863425,-4.2623805738885352,0.072033160132134663,-0.1393792397033925,-3.5686360831120654
-1.2763358157784672,-3.8323928089175752,0.081459783826588111,-0.12049181419838195,-3.3697576765426245,-6.6326374430525545,-37.881275529007624,-5.2424376368966543,0.020352563815930088,-0.034468165909911759,0.019001859141311157,-5.2424376368966543,-9.3726245780328483,0.2557156125590565,-0.40609936944900354,0.2218746653766063,0.020352563815930088,0.2557156125590565,-9.3130744262523333,0.12233482726033369,-0.038784603928212327,-0.034468165909911759,-0.40609936944900354,0.12233482726033369,-9.3888871308723107,0.087520305280971433,0.019001859141311157,0.2218746653766063,-0.038784603928212327,0.087520305280971433,-9.2857520618366056,-1.2956860406607436,-3.878943314365165,0.093580598638318691,-0.10819430899355019,-3.3065532427476407
-1.5815332426232036,-4.3542568355400029,0.1222659521786072,-0.12640641783295756,-3.7016338346659272,-6.9283181088040333,-37.825732928165039,-5.2286429359525677,0.031254492760947349,-0.028668805621513034,0.010340226540968491,-5.2286429359525677,-9.3148364442138956,0.35114503586268114,-0.35465396383881731,0.14309473770923972,0.031254492760947349,0.35114503586268114,-9.2539924284999628,0.094328863408767546,-0.055562394330294883,-0.028668805621513034,-0.35465396383881731,0.094328863408767546,-9.325809320061401,0.068316446819993978,0.010340226540968491,0.14309473770923972,-0.055562394330294883,0.068316446819993978,-9.2353690877201746,-1.5797317465196961,-4.4340798062068076,0.12329250312044318,-0.11382609122667904,-3.6892905888554255
-1.5194615469545101,-4.2788480622306491,0.076012544586409853,-0.1439627504236273,-3.6465428131236397,-6.8973408926607007,-37.994242013232615,-5.2704942625283975,0.020913236780041762,-0.038936207880117264,0.018117418829981011,-5.2704942625283975,-9.4799593779311433,0.24981431342001284,-0.45784566838275481,0.22689751473342279,0.020913236780041762,0.24981431342001284,-9.405161381415752,0.094458947827562784,-0.076887252402981998,-0.038936207880117264,-0.45784566838275481,0.094458947827562784,-9.5015694814659444,0.1205222319104638,0.018117418829981011,0.22689751473342279,-0.076887252402981998,0.1205222319104638,-9.4027910564068815,-1.5307801281247899,-4.3512678702954029,0.049736809465572018,-0.11957566063101642,-3.6118857312307373
-1.7164073724796916,-4.6723128872364441,0.13692821911868786,-0.19562450195344,-3.9189661669488354,-7.2373670318593843,-38.115395668049587,-5.3005842580055509,0.032872225312448218,-0.045609859046273189,0.0068529869740798881,-5.3005842580055509,-9.5932944172773134,0.3671548920483933,-0.5328222720649507,0.10669637810977325,0.032872225312448218,0.3671548920483933,-9.5029566700698975,0.13972707865954512,-0.039164973426515634,-0.045609859046273189,-0.5328222720649507,0.13972707865954512,-9.6815310887227728,0.086330601215453537,0.0068529869740798881,0.10669637810977325,-0.039164973426515634,0.086330601215453537,-9.4643330113022248,-1.7274497947035055,-4.7623054293497358,0.14680292142326903,-0.18290459253644292,-3.9134027078356524
-1.1578416729983132,-3.6328261876064967,0.079907245941572405,-0.13509389790624471,-3.2634416327966242,-6.5873484272416576,-37.833142154927636,-5.2304831215244034,0.021981815459053172,-0.037502797248223398,0.010877347103885946,-5.2304831215244034,-9.3312452870539051,0.26565402237849495,-0.44259066355038229,0.12991217177356637,0.021981815459053172,0.26565402237849495,-9.282199936185318,0.11650572975264567,-0.041076245730042919,-0.037502797248223398,-0.44259066355038229,0.11650572975264567,-9.3754213376124458,0.055379324556671918,0.010877347103885946,0.12991217177356637,-0.041076245730042919,0.055379324556671918,-9.2056783888394911,-1.1736836524686007,-3.6745550858015426,0.072287907044055938,-0.14606795491902574,-3.1607513807722221
