KE_LL_OH_1s1s,KE_LL_OH_2s1s,KE_LL_OH_2px1s,KE_LL_OH_2py1s,KE_LL_OH_2pz1s,KE_LL_O_1s1s,KE_LL_O1_1s1s,KE_LL_O1_1s2s,KE_LL_O1_1s2px,KE_LL_O1_1s2py,KE_LL_O1_1s2pz,KE_LL_O1_2s1s,KE_LL_O1_2s2s,KE_LL_O1_2s2px,KE_LL_O1_2s2py,KE_LL_O1_2s2pz,KE_LL_O1_2px1s,KE_LL_O1_2px2s,KE_LL_O1_2px2px,KE_LL_O1_2px2py,KE_LL_O1_2px2pz,KE_LL_O1_2py1s,KE_LL_O1_2py2s,KE_LL_O1_2py2px,KE_LL_O1_2py2py,KE_LL_O1_2py2pz,KE_LL_O1_2pz1s,KE_LL_O1_2pz2s,KE_LL_O1_2pz2px,KE_LL_O1_2pz2py,KE_LL_O1_2pz2pz,KE_OH_1s1s,KE_QU_OH_2s1s,KE_QU_OH_2px1s,KE_QU_OH_2py1s,KE_QU_OH_2pz1s
-0.0065942468388608434,0.095409178868302899,-0.16733428146577067,0.081807320964731672,0.13429481320985642,0.76003188356660889,29.003199945539578,-0.16801093931649191,1.1105523138900102e-15,0.0,-2.9968173272363468e-16,-0.16801093931649191,0.80812795493034761,-3.6236842248930891e-16,-8.729399900242058e-17,1.1366744021850431e-16,1.1105523138900102e-15,-3.6236842248930891e-16,2.5287311981947624,1.8383382286665624e-31,0.0,0.0,-8.729399900242058e-17,1.8383382286665624e-31,2.5287311981947624,5.5293117364421789e-32,-2.9968173272363468e-16,1.1366744021850431e-16,0.0,5.5293117364421789e-32,2.5287311981947624,-0.11404617782197878,0.13192123664866745,-0.12909506737095774,0.038507603565451701,0.11548852596126334
-0.005639793074246632,0.10453324542362631,0.0005701746829857926,-0.23696170272577829,-0.062002041966773384,0.76003188356660889,29.003199945539578,-0.16801093931649191,2.5666867044922861e-16,-8.2117037402408895e-16,2.0108836322302701e-15,-0.16801093931649191,0.80812795493034761,-1.8118421124465446e-16,4.8465706491785798e-17,-4.4813970843449338e-16,2.5666867044922861e-16,-1.8118421124465446e-16,2.5287311981947624,2.297922785833203e-32,4.5958455716664061e-32,-8.2117037402408895e-16,4.8465706491785798e-17,2.297922785833203e-32,2.5287311981947624,5.9110561762274098e-32,2.0108836322302701e-15,-4.4813970843449338e-16,4.5958455716664061e-32,5.9110561762274098e-32,2.5287311981947624,-0.11641420509354561,0.14319752299421801,0.0023784232534118034,-0.18774596343711483,-0.074880551862888153
0.0046594471516354591,0.17152684232428,0.34327336732161462,-0.026694599468608249,0.066062276244603563,0.76003188356660889,29.003199945539578,-0.16801093931649191,1.3248354994946334e-16,2.4349202856292417e-16,-1.6572714932043024e-17,-0.16801093931649191,0.80812795493034761,-1.8118421124465446e-16,-7.2473684497861782e-16,3.6526844564716774e-19,1.3248354994946334e-16,-1.8118421124465446e-16,2.5287311981947624,9.1916911433328121e-32,3.5905043528643797e-34,2.4349202856292417e-16,-7.2473684497861782e-16,9.1916911433328121e-32,2.5287311981947624,1.4362017411457519e-33,-1.6572714932043024e-17,3.6526844564716774e-19,3.5905043528643797e-34,1.4362017411457519e-33,2.5287311981947624,-0.085594459250027149,0.22221204731233388,0.35261345475435335,-0.046048867640273161,0.086199243812232082
-0.0068418600203186694,0.092788396236233556,-0.041909818089764468,-0.20615581820748838,-0.080324202833846697,0.76003188356660889,29.003199945539578,-0.16801093931649191,1.1840823799256874e-15,2.8520376100275168e-15,-2.8730180180337436e-16,-0.16801093931649191,0.80812795493034761,-3.9016924902347047e-17,-3.6236842248930891e-16,1.1203492710862334e-16,1.1840823799256874e-15,-3.9016924902347047e-17,2.5287311981947624,9.1916911433328121e-32,-2.9555280881137049e-32,2.8520376100275168e-15,-3.6236842248930891e-16,9.1916911433328121e-32,2.5287311981947624,-2.297922785833203e-32,-2.8730180180337436e-16,1.1203492710862334e-16,-2.9555280881137049e-32,-2.297922785833203e-32,2.5287311981947624,-0.13708325549637312,0.13424348826732868,-0.037757603453743918,-0.14853758023384345,-0.050308790209661843
-0.00046392563069817122,0.14193927366462034,0.13789423951570945,-0.27209217867728386,-0.014691578368786902,0.76003188356660889,29.003199945539578,-0.16801093931649191,1.1744219304544825e-16,5.0063817153927324e-16,1.0496371962850413e-15,-0.16801093931649191,0.80812795493034761,-5.6605021150847573e-17,-3.6236842248930891e-16,-4.9831676037522758e-16,1.1744219304544825e-16,-5.6605021150847573e-17,2.5287311981947624,2.297922785833203e-32,5.8792834842762434e-32,5.0063817153927324e-16,-3.6236842248930891e-16,2.297922785833203e-32,2.5287311981947624,9.1916911433328121e-32,1.0496371962850413e-15,-4.9831676037522758e-16,5.8792834842762434e-32,9.1916911433328121e-32,2.5287311981947624,-0.11150638864774962,0.18895088282390957,0.1351048344340354,-0.25560526674368728,-0.038883964972141555
-0.0082298747664651672,0.074118499250922093,0.1432766206152867,-0.096791036996262944,-0.08572133506232453,0.76003188356660889,29.003199945539578,-0.16801093931649191,4.3435420784636021e-17,1.1975415393390669e-15,8.2843377639636813e-17,-0.16801093931649191,0.80812795493034761,-1.8118421124465446e-16,-1.3621796909548152e-15,-8.8859886530326729e-18,4.3435420784636021e-17,-1.8118421124465446e-16,2.5287311981947624,9.1916911433328121e-32,2.8724034822915038e-33,1.1975415393390669e-15,-1.3621796909548152e-15,9.1916911433328121e-32,2.5287311981947624,-2.3336654119394334e-33,8.2843377639636813e-17,-8.8859886530326729e-18,2.8724034822915038e-33,-2.3336654119394334e-33,2.5287311981947624,-0.1111512447675697,0.10420231526250098,0.084799187707236046,-0.095269337932864795,-0.028599128727888251
-0.0024451866209095705,0.12906391636893555,-0.12246865894003126,-0.078497612187494625,-0.24508420593459551,0.76003188356660889,29.003199945539578,-0.16801093931649191,2.3748049494930965e-16,2.3862746112004333e-15,3.9122997969829142e-16,-0.16801093931649191,0.80812795493034761,-8.2326566392593024e-16,-3.6236842248930891e-16,-5.6605021150847573e-17,2.3748049494930965e-16,-8.2326566392593024e-16,2.5287311981947624,1.8383382286665624e-31,1.0144848732233654e-32,2.3862746112004333e-15,-3.6236842248930891e-16,1.8383382286665624e-31,2.5287311981947624,2.297922785833203e-32,3.9122997969829142e-16,-5.6605021150847573e-17,1.0144848732233654e-32,2.297922785833203e-32,2.5287311981947624,-0.093661403304727928,0.16870353814612263,-0.13908039533405306,-0.073142606478047725,-0.22169598068689195
-0.002073013444536584,0.13157696205374325,-0.12102364273170359,-0.21966947381526836,-0.14362978553079847,0.76003188356660889,29.003199945539578,-0.16801093931649191,1.7238810502606711e-17,7.2258054944044745e-16,-1.1793038694585092e-18,-0.16801093931649191,0.80812795493034761,4.5296052811163614e-17,-7.2473684497861782e-16,-2.2696578929669731e-17,1.7238810502606711e-17,4.5296052811163614e-17,2.5287311981947624,-2.297922785833203e-32,-3.5905043528643797e-34,7.2258054944044745e-16,-7.2473684497861782e-16,-2.297922785833203e-32,2.5287311981947624,5.7448069645830076e-33,-1.1793038694585092e-18,-2.2696578929669731e-17,-3.5905043528643797e-34,5.7448069645830076e-33,2.5287311981947624,-0.13093465260675533,0.17999056549442916,-0.090171065370045267,-0.21515217723083246,-0.12112187297669771
0.019729517899560373,0.24904253685185507,-0.4507428942943747,0.064616373473394856,-0.05053403032213534,0.76003188356660889,29.003199945539578,-0.16801093931649191,1.5617031217113071e-15,5.9900316335897303e-17,3.0094811860637303e-15,-0.16801093931649191,0.80812795493034761,-7.1991175924836759e-16,-4.7960700090592448e-16,-5.045442409378317e-16,1.5617031217113071e-15,-7.1991175924836759e-16,2.5287311981947624,-9.0260504479080823e-32,-1.6418691235372261e-31,5.9900316335897303e-17,-4.7960700090592448e-16,-9.0260504479080823e-32,2.5287311981947624,5.4818865469147413e-31,3.0094811860637303e-15,-5.045442409378317e-16,-1.6418691235372261e-31,5.4818865469147413e-31,2.5287311981947624,-0.069060203424138253,0.31809007503383652,-0.4988418296655085,0.07089262292383719,-0.075265668323966958
-0.0053723866709767506,0.10687790839750658,0.13449594243892626,0.013229993574605255,-0.20894097149058521,0.76003188356660889,29.003199945539578,-0.16801093931649191,6.0939920117844023e-17,3.8037225760995788e-15,6.5363927876955176e-16,-0.16801093931649191,0.80812795493034761,-7.002182944288959e-18,0.0,-9.0592105622327228e-17,6.0939920117844023e-17,-7.002182944288959e-18,2.5287311981947624,0.0,3.5905043528643797e-34,3.8037225760995788e-15,0.0,0.0,2.5287311981947624,0.0,6.5363927876955176e-16,-9.0592105622327228e-17,3.5905043528643797e-34,0.0,2.5287311981947624,-0.12646868231289374,0.14906800378183516,0.11993230689137466,-0.0099113005328980482,-0.16249424415463182
